Record ID,Institution Name:,Please indicate your gender:,Please indicate your racial/ethnic identity:  (You may select more than one option.),What is your current marital status?  (You may select more than one option.),Please indicate your current appointment:  (You may select more than one option.),Track: Other,"In your career as faculty, have you had any leadership title or role?","In your career as faculty, how many leadership positions have you held?","What is the highest incentivized leadership position have you had?  (Incentives may be monetary, less clinic time, etc.)","As faculty, on average, how many publications have you published per year in peer-reviewed journals over the last 5 years?",How many publications were you first or last author?,"What is the total number of funded projects or studies to date?  (A funded project or study is defined as one for which you were a principal investigator (PI), co-PI, site PI, or co-investigator receiving salary support.)",Please select the types of funding sources for your projects or studies.  (You may select more than one option.),Funding Sources: Other,"What is the maximum funding for a single grant or funding source you have received as faculty? (in US dollars, including total cost (direct and indirect))","As faculty, how many total awards have you received to date?",At which level were the awards given?  (You may select more than one option.),Level of awards: Other,"As faculty, how many total times have you been invited as a guest speaker?  (A guest speaking engagement is defined as occurring outside your current department ex. grand rounds, workshop lead, panelist.)",At which level were the guest speaking engagements given?  (You may select more than one option.),Level of guest speaking arrangements: Other,The demands of my family and/or spouse/partner interfere with my work-related activities.,I have to put off doing things at work because of the demands on my time at home.,Things I want to do at work do not get done because of the demands of my family and/or spouse/partner.,"My home life interferes with my responsibilities at work such as getting to work on time, accomplishing daily tasks, and working overtime.",Family-related strain interferes with my ability to perform job-related duties.,Domestic responsibilities are shared equally with spouse/partner.,Taking care of children when they are sick at home,Taking days off from work when children are sick,"Handling chores related to childcare (eg, laundry, cooking, cleaning)",Managing children's activities and schedule,Playing or doing activities with children,Does your work/career interfere with your personal life?,In what ways does your work/career interfere with your personal life?,Are you interested in answering questions on burnout?,Why are you not interested in answering questions on burnout?,"In general, how do you feel about your time? Would you say that you feel rushed?","Pre-COVID: Overall, based on your definition of burnout, how would you rate your level of burnout?",I deal very effectively with the problems of my patients.,I feel I treat some patients as if they were impersonal objects.,I feel emotionally drained from my work.,I feel fatigued when I get up in the morning and have to face another day on the job.,I've become more callous towards people since I took this job.,I feel I'm positively influencing other people's lives through my work.,Working with people all day is really a strain for me.,I don't really care what happens to some patients.,I feel exhilarated after working closely with my patients.
51,4,Woman,Asian,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Research,Tenure Track",,Yes,2,Director of a center,3,10,34,"NIH grants,Institutional grants,Not-for-profit organizational grants,Foundational grants",,$7.5 million,25,"Institutional,Regional,National",,200,"Institutional,Local,Regional,National,International",,Agree (5),Agree (5),Agree (5),Agree (5),Neither Agree or Disagree (4),Very Strongly Disagree (1),I do more,I do more,I do more,I do more,I do more,Often,"Traveling for work/career prevented me from caring for children and home.  Writing grants prevented me from getting enough sleep (would write grants after putting children to bed, from 10pm - 2 am)  Took 2 weeks off for first child, 4 days off for second child, 2 weeks off for third child.  Need to be a superwoman to pull this off gracefully.   ",No,Survey fatigue,,,,,,,,,,,
52,4,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,3,"0.5 admin time, salary raise. Not willing to give title see comments",1,0,0,,,,0,,,25,"Institutional,Local,Regional,National",,Disagree (3),Agree (5),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Partner does more,Does not apply,I do more,I do more,Share equally,Sometimes,Balance of time needed to achieve career goals,No,Already answered in a previous burnout survey,,,,,,,,,,,
53,4,Man,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Tenure Track",,Yes,4,Head of Department,53,17,8,"NIH grants,Industry trials",,~10M over 5 years,65,"Institutional,National",,176,"Institutional,Local,Regional,National,International",,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Strongly Disagree (2),Strongly Disagree (2),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Always,There are always deadlines and issues that need to be addressed,Yes,,Always feel rushed,2 Slightly burned out,Once per week,Never,Once per month or less,A few times per year,A few times per year,Every day,A few times per year,Never,A few times per week
54,4,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,11,President of American Epilepsy Society,10,5,35,"NIH grants,Institutional grants,Foundational grants,Industry trials",,3 million,12,"Institutional,National,International",,250,"Institutional,Local,Regional,National,International",,Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Agree (6),,,,,,Rarely,time ,No,Survey fatigue,,,,,,,,,,,
55,4,Man,"Asian,Native Hawaiian or other Pacific Islander",Married,Tenure Track,,Yes,3,Vice Chair of Research,5,15,8,"NIH grants,Foundational grants,Industry trials",,"$1,661,639 ",3,"Institutional,National",,72,"Institutional,Local,Regional,National,International",,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Agree (5),Partner does more,Partner does more,Share equally,Share equally,Partner does more,Rarely,Some limits on play time with children when deadlines loom or when on service.,No,Prefer to not answer,,,,,,,,,,,
56,4,Man,Asian,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Non-Tenure",,No,,,1,7,1,Institutional grants,,28000,0,,,8,"Institutional,Local,Regional,National,International",,Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),Very Strongly Agree (7),Partner does more,Partner does more,Share equally,Share equally,Partner does more,Often,Time,Yes,,Sometimes feel rushed,3 Moderately burned out,A few times per week,Never,Once per week,A few times per week,A few times per week,A few times per year,A few times per month,Never,A few times per month
57,4,Man,White,Married,Academic Track - Research,,Yes,5,Director ,20,15,0,,,,0,,,50,"Institutional,Local,Regional,National,International",,Neither Agree or Disagree (4),Disagree (3),Strongly Disagree (2),Disagree (3),Disagree (3),Neither Agree or Disagree (4),Partner does more,Partner does more,Share equally,Partner does more,Partner does more,Sometimes,,Yes,,Sometimes feel rushed,1 Not at all burned out,Every day,Never,A few times per year,A few times per year,A few times per year,A few times per year,A few times per year,A few times per year,A few times per year
58,4,Woman,Asian,Married,Academic Track - Research,,No,,,1,1,4,"NIH grants,Institutional grants,Foundational grants,Other: {sourceetc}",Industry sponsored,"$3,739,105.00 across 5 years",2,"Regional,National",,4,"Institutional,Local,National",,Agree (5),Agree (5),Disagree (3),Agree (5),Disagree (3),Agree (5),Share equally,Share equally,Share equally,I do more,I do more,Often,Days before deadlines.,No,Already answered in a previous burnout survey,,,,,,,,,,,
59,4,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,0,3,5,3,"Not-for-profit organizational grants,Foundational grants,Industry trials",,"$150,000 ",3,"Local,National",,5,,,Strongly Disagree (2),Agree (5),Strongly Disagree (2),Strongly Disagree (2),Very Strongly Disagree (1),Very Strongly Agree (7),Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Sometimes,,No,Prefer to not answer,,,,,,,,,,,
60,4,Woman,Not reported,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,0,,0,,,,0,,,0,,,Agree (5),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Disagree (3),,,,,,Often,,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,Never,A few times per week,A few times per week,Once per week,A few times per month,Once per week,Never,Once per week
61,4,Woman,White,Domestic partnership,Academic Track - Research,,No,,,1,1,2,NIH grants,,"75,000",0,,,0,,,Strongly Disagree (2),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Agree (5),,,,,,Often,"Very busy (this was at another institution, I only started working here after COVID)",No,Survey fatigue,,,,,,,,,,,
62,4,Man,Asian,Married,Academic Track - Research,,No,,,1,10,0,,,,0,,,1,Regional,,Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),Share equally,Share equally,Share equally,I do more,Share equally,Sometimes,,No,Survey fatigue,,,,,,,,,,,
63,4,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,4,"none, volunteer",2,6,8,Industry trials,,Don't know,2,Institutional,,1,Local,,Neither Agree or Disagree (4),Very Strongly Agree (7),Agree (5),Agree (5),Disagree (3),Strongly Agree (6),Share equally,Share equally,I do more,Share equally,Share equally,Sometimes,"On call, urgent medical issues that need to be addressed after hours. ",Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,Never,Every day,A few times per week,A few times per month,Every day,Once per month or less,Never,Once per week
64,4,Woman,White,Married,Tenure Track,,No,,,4,9,7,"NIH grants,Foundational grants,Other: {sourceetc}",Industry Sponsored Basic Research,"$1,330,000 ",9,"Institutional,National",,9,"Institutional,National,International",,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Strongly Agree (6),I do more,I do more,Share equally,Share equally,Share equally,Never,,No,Survey fatigue,,,,,,,,,,,
65,4,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,4,vice chair (clinical) of department,1,0,4,"NIH grants,Not-for-profit organizational grants,Industry trials",,"$350,000 ",0,,,12,"Institutional,Local,Regional,National",,Agree (5),Agree (5),Agree (5),Neither Agree or Disagree (4),Agree (5),Agree (5),,,,,,Sometimes,less time to devote to and build relationship,Yes,,Sometimes feel rushed,3 Moderately burned out,A few times per week,Once per month or less,A few times per week,A few times per week,Once per month or less,A few times per week,A few times per year,A few times per year,Once per week
66,4,Woman,White,Domestic partnership,Clinician Track (clinical appointment with no academic appointment),,Yes,1,protected time for academic work ,1,0,0,,,,0,,,10,"Institutional,Local,Regional,International",,Agree (5),Agree (5),Agree (5),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Agree (5),Share equally,Partner does more,Share equally,I do more,I do more,Always,Being on call makes it impossible to create work-life boundaries. My family know when I am on call that our schedule and family activities are subject to change whenever my beeper goes of. ,Yes,,Always feel rushed,3 Moderately burned out,A few times per week,A few times per month,Every day,Every day,A few times per year,Every day,A few times per week,Never,A few times per week
67,4,Man,White,Single,Clinician Track (clinical appointment with no academic appointment),,No,,,0,,0,,,,0,,,0,,,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),,,,,,Rarely,,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,A few times per month,A few times per month,A few times per week,A few times per month,A few times per week,Once per week,A few times per month,A few times per week
68,4,Man,White,Married,Clinician Track (clinical appointment with no academic appointment),,No,,,0,,0,,,,0,,,0,,,Neither Agree or Disagree (4),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Agree (5),,,,,,Rarely,Time at work and away from family,No,Prefer to not answer,,,,,,,,,,,
69,4,Man,Asian,Married,Tenure Track,,Yes,1,less time,18,14,20,"NIH grants,Institutional grants,Not-for-profit organizational grants,Foundational grants,Medical societies,Industry trials",,"1,900,000",20,"Institutional,Local,Regional,National",,25,"Institutional,Local,Regional,National,International",,Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),Share equally,Partner does more,Partner does more,Partner does more,Share equally,Rarely,Deadline for Grant application,Yes,,Sometimes feel rushed,1 Not at all burned out,Never,Never,A few times per year,Once per month or less,A few times per year,Once per month or less,A few times per month,Once per month or less,Once per month or less
70,6,Woman,Native Hawaiian or other Pacific Islander,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,none,5,30,2,Industry trials,,300000,6,"Institutional,Regional",,11,"National,International",,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Very Strongly Agree (7),,,,,,Sometimes,every way,Yes,,Always feel rushed,4 Very burned out,A few times per week,A few times per week,Every day,Every day,A few times per week,Once per month or less,A few times per week,A few times per week,A few times per week
71,6,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,3,0,3,3,8,"Institutional grants,Industry trials,Other: {sourceetc}",VA,60000,2,Local,,20,"Regional,International",,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Agree (5),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Disagree (3),,,,,,Often,Time commitments to work ,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,Never,A few times per year,Never,Never,Every day,Never,Never,Every day
72,4,Woman,White,A status not listed above: {maritalother},Academic Track - Clinical (clinical appointment with academic appointment),,No,,,0,,0,,,,0,,,0,,,Disagree (3),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),N/A,I do more,Does not apply,I do more,I do more,I do more,Sometimes,"Long work hours, especially hospital calls with weekend coverage.",No,Prefer to not answer,,,,,,,,,,,
73,4,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,5,division head,4,5,20,"Institutional grants,Foundational grants,Industry trials",,"250,000",25,"Institutional,National",,20,"Institutional,Local,Regional,National",,Disagree (3),Agree (5),Agree (5),Agree (5),Neither Agree or Disagree (4),Strongly Disagree (2),,,,,,Sometimes,Limited time for developing personal interests.,Yes,,Sometimes feel rushed,3 Moderately burned out,Every day,Once per month or less,A few times per month,Once per week,Once per week,Every day,Once per week,A few times per year,A few times per week
74,4,Woman,Asian,Married,"Academic Track - Research,Tenure Track",,Yes,1,Director of a center,3,9,34,"NIH grants,Institutional grants,Not-for-profit organizational grants,Foundational grants",,"$7,000,000 ",34,"Institutional,Local,Regional,National",,210,"Institutional,Local,Regional,National,International",,Agree (5),Agree (5),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Agree (5),Strongly Disagree (2),,,,,,Sometimes,"Implicit and explicit bias at work is extremely stressful and demoralizing, far outweighing any domestic inequalities.  My institution has the most inhospitable environment for women that I have ever experienced anywhere.  I am saddened that my institution has progressed so slowly on issues that have such a clear right versus wrong. ",No,Already answered in a previous burnout survey,,,,,,,,,,,
75,4,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,Program Director,4,10,1,NIH grants,,,2,National,,20,"Local,Regional,National,International",,Neither Agree or Disagree (4),Strongly Agree (6),Agree (5),Agree (5),Agree (5),Strongly Agree (6),Share equally,Share equally,Share equally,Share equally,Share equally,Rarely,,No,Survey fatigue,,,,,,,,,,,
76,4,Man,Not reported,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,2,2,0,,,,0,,,0,,,Strongly Agree (6),Very Strongly Agree (7),Strongly Agree (6),Strongly Agree (6),Disagree (3),Disagree (3),Partner does more,Partner does more,Share equally,Partner does more,Partner does more,Often,"I frequently have to finish documentation (notes, bills, etc.) at home. Also the time allocated for research activities is not enough so I always use the time that I should be spending with family to work on my research projects. ",No,Survey fatigue,,,,,,,,,,,
77,,Woman,Hispanic/Latino,Single,"Academic Track - Research,Non-Tenure",,Yes,3,current one,3,6,3,"NIH grants,Institutional grants,Not-for-profit organizational grants",,"700,000",15,"Institutional,Local,National,International",,50,"Institutional,Local,Regional,National,International",,Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),Disagree (3),,,,,,Sometimes,In order to complete clinic responsibilities I have to work extra hours so I di not spend  my research days catching up with clinic notes,Yes,,Always feel rushed,3 Moderately burned out,A few times per week,Never,A few times per month,A few times per month,A few times per month,Once per week,A few times per year,Never,Once per week
